BirdID,BTO,RingYear,LastSeenYea,BTOcount
1575,N748891,2000,2001,1
1576,N748892,2000,2010,1
1577,N748893,2000,2013,1
1578,N748894,2000,2002,1
1579,N748895,2000,2008,1
1580,N748896,2000,2015,1
1581,N748897,2000,2009,1
1582,N748898,2000,2000,1
1583,N748899,2000,2002,1
1584,N748900,2000,2000,1
1585,N748901,2000,2002,1
1586,N748902,2000,2001,1
1587,N748903,2000,2008,1
1588,N748904,2000,2004,1
1589,N748905,2000,2008,1
1590,N748906,2000,2005,1
1591,N748907,2000,2005,1
1592,N748908,2000,2001,1
1593,N748909,2000,2008,1
1594,N748910,2000,2001,1
1595,N748911,2000,2007,1
1596,N748912,2000,2000,1
1597,N748913,2000,2004,1
1598,N748914,2000,2007,1
1599,N748915,2000,2001,1
1600,N748916,2000,2002,1
1601,N748917,2000,2001,1
1602,N748918,2000,2000,1
1571,N748887,2000,2000,1
1572,N748888,2000,2004,1
1573,N748889,2000,2002,1
1574,N748890,2000,2000,1
1862,VE80200,1993,2001,1
1861,VE80198,1995,1997,1
1860,VE80150,1989,1990,1
1859,VE30582,1995,2000,1
1689,NS64519,1986,1986,1
1687,NS20860,1982,1991,1
1686,NS20855,1982,1995,1
1570,N748886,1999,2004,1
1569,N748885,1999,2002,1
1568,N748884,1999,1999,1
1567,N748883,1999,1999,1
1566,N748882,1999,2008,1
1565,N748881,1999,1999,1
1564,N748880,1999,2001,1
1563,N748879,1999,2009,1
1562,N748878,1999,1999,1
1561,N748877,1999,2005,1
1560,N748876,1999,2002,1
1559,N748875,1999,2009,1
1558,N748874,1999,2009,1
1557,N748873,1999,2003,1
1556,N748872,1999,1999,1
1555,N748871,1999,2001,1
1554,N748870,1999,1999,1
1553,N748869,1999,2010,1
1552,N748868,1999,2002,1
1551,N748867,1999,2003,1
1550,N748866,1999,2005,1
1549,N748865,1999,2002,1
1548,N748864,1999,2000,1
1547,N748863,1999,1999,1
1546,N748862,1999,1999,1
1545,N748861,1999,2000,1
1544,N748860,1999,1999,1
1543,N748859,1999,2009,1
1542,N748858,1999,2012,1
1541,N748857,1999,2005,1
1540,N748856,1999,2003,1
1539,N748855,1999,2008,1
1538,N748854,1999,2008,1
1537,N748853,1999,1999,1
1536,N748852,1999,2008,1
1535,N748851,1999,2000,1
1534,N748850,1999,2000,1
1533,N748849,1999,2015,1
1532,N748848,1999,2010,1
1531,N748847,1999,2002,1
1530,N748846,1999,1999,1
1529,N748845,1999,1999,1
1528,N748844,1999,1999,1
1527,N748843,1999,2001,1
1526,N748842,1999,1999,1
1525,N748841,1999,1999,1
1524,N748840,1999,2007,1
1523,N748839,1999,2013,1
1522,N748838,1999,1999,1
1521,N748837,1999,2001,1
1520,N748836,1999,1999,1
1519,N748835,1999,1999,1
1518,N748834,1999,1999,1
1517,N748833,1999,2001,1
1516,N748832,1999,1999,1
1515,N748831,1999,2001,1
1514,N748830,1999,2000,1
1513,N748829,1999,2001,1
1512,N748828,1999,2008,1
1511,N748827,1999,2002,1
1510,N748826,1999,2009,1
1509,N748825,1999,2010,1
1508,N748824,1999,2005,1
1507,N748823,1999,1999,1
1506,N748822,1999,2007,1
1505,N748821,1999,2000,1
1504,N748820,1999,2010,1
1503,N748819,1999,2008,1
1502,N748818,1999,2001,1
1501,N748817,1999,2009,1
1500,N748816,1999,2006,1
1499,N748815,1999,2013,1
1498,N748814,1999,2000,1
1497,N748813,1999,1999,1
1496,N748812,1999,1999,1
1495,N748811,1999,2009,1
1494,N748810,1999,2015,1
1493,N748809,1999,2002,1
1492,N748808,1999,2004,1
1491,N748807,1999,2010,1
1490,N748806,1999,2006,1
1489,N748805,1999,2015,1
1488,N748804,1999,2001,1
1487,N748803,1999,1999,1
1486,N748802,1999,1999,1
1485,N748801,1999,2006,1
1484,N748742,1999,1999,1
1483,N748741,1999,1999,1
1482,N748740,1999,1999,1
1481,N748739,1999,1999,1
1480,N748738,1999,1999,1
1479,N748737,1999,2000,1
1478,N748736,1999,1999,1
1477,N748735,1999,2000,1
1476,N748734,1999,2000,1
1475,N748733,1999,2000,1
1474,N748732,1999,2000,1
1473,N748731,1999,2000,1
1472,N748730,1999,2000,1
1471,N748729,1999,2000,1
1470,N748728,1999,2000,1
1469,N748727,1999,2000,1
1468,N748726,1999,2000,1
1467,N748725,1999,2000,1
1466,N748724,1999,2000,1
1465,N748723,1999,2000,1
1464,N748722,1999,2000,1
